# step Hamiltonian StressXX ChemicalPotential1 ChemicalPotential2 CellTensor1 CellTensor2 CellTensor3 CellTensor4 CellTensor5 CellTensor6 CellTensor7 CellTensor8 CellTensor9 
0 -6.6753141707e-01 1.0087933612e-07 -1.4781724446e+01 -9.1808191938e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
501 -6.6753141707e-01 1.0098486372e-07 -1.4781724424e+01 -9.1808191961e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
1002 -6.6753141707e-01 1.0107364118e-07 -1.4781724405e+01 -9.1808191980e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
1503 -6.6753141707e-01 1.0114867651e-07 -1.4781724390e+01 -9.1808191996e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
2004 -6.6753141707e-01 1.0121239091e-07 -1.4781724377e+01 -9.1808192010e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
2505 -6.6753141707e-01 1.0126673934e-07 -1.4781724366e+01 -9.1808192021e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
3006 -6.6753141707e-01 1.0131330551e-07 -1.4781724356e+01 -9.1808192030e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
3507 -6.6753141707e-01 1.0135337678e-07 -1.4781724349e+01 -9.1808192038e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
4008 -6.6753141707e-01 1.0138800338e-07 -1.4781724342e+01 -9.1808192045e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
4509 -6.6753141707e-01 1.0141804529e-07 -1.4781724336e+01 -9.1808192051e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
5010 -6.6753141707e-01 1.0144420949e-07 -1.4781724332e+01 -9.1808192056e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
5010 -6.6753141707e-01 1.0144420949e-07 -1.4781724332e+01 -9.1808192056e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
5010 -6.6753141707e-01 1.0144420949e-07 -1.4781724332e+01 -9.1808192056e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
5010 -6.6753141707e-01 1.0144420949e-07 -1.4781724332e+01 -9.1808192056e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
5010 -6.6753141707e-01 1.0144420949e-07 -1.4781724332e+01 -9.1808192056e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
5010 -6.6753141707e-01 1.0144420949e-07 -1.4781724332e+01 -9.1808192056e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
5010 -6.6753141707e-01 1.0144420949e-07 -1.4781724332e+01 -9.1808192056e-01 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2734652674e+01 
