# step Hamiltonian StressXX ChemicalPotential1 ChemicalPotential2 CellTensor 
0 7.9390522884e-01 0.0000000000e+00 1.8605422939e+02 4.0343160030e-02 1.0000000000e+00 
501 -6.4079560899e-01 0.0000000000e+00 1.7896701776e+01 -9.1629073187e-01 1.0000000000e+00 
1002 -6.6261036344e-01 0.0000000000e+00 -6.2053001027e-01 -9.1629073187e-01 1.0000000000e+00 
1503 -6.6640043645e-01 0.0000000000e+00 -8.3388840136e+00 -9.1629073187e-01 1.0000000000e+00 
2004 -6.6705891984e-01 0.0000000000e+00 -1.1556048881e+01 -9.1629073187e-01 1.0000000000e+00 
2505 -6.6717332407e-01 0.0000000000e+00 -1.2897027771e+01 -9.1629073187e-01 1.0000000000e+00 
3006 -6.6719320054e-01 0.0000000000e+00 -1.3455974687e+01 -9.1629073187e-01 1.0000000000e+00 
3507 -6.6719665386e-01 0.0000000000e+00 -1.3688954981e+01 -9.1629073187e-01 1.0000000000e+00 
4008 -6.6719725383e-01 0.0000000000e+00 -1.3786065844e+01 -9.1629073187e-01 1.0000000000e+00 
4509 -6.6719735807e-01 0.0000000000e+00 -1.3826543601e+01 -9.1629073187e-01 1.0000000000e+00 
5010 -6.6719737618e-01 0.0000000000e+00 -1.3843415542e+01 -9.1629073187e-01 1.0000000000e+00 
5511 -6.6719737933e-01 0.0000000000e+00 -1.3850448106e+01 -9.1629073187e-01 1.0000000000e+00 
6012 -6.6719737987e-01 0.0000000000e+00 -1.3853379420e+01 -9.1629073187e-01 1.0000000000e+00 
6513 -6.6719737997e-01 0.0000000000e+00 -1.3854601250e+01 -9.1629073187e-01 1.0000000000e+00 
7014 -6.6719737999e-01 0.0000000000e+00 -1.3855110534e+01 -9.1629073187e-01 1.0000000000e+00 
7515 -6.6719737999e-01 0.0000000000e+00 -1.3855284468e+01 -9.1629073187e-01 1.0000000000e+00 
7515 -6.6719737999e-01 0.0000000000e+00 -1.3855284468e+01 -9.1629073187e-01 1.0000000000e+00 
