# step Hamiltonian StressXX ChemicalPotential1 ChemicalPotential2 CellTensor 
0 7.5329324107e-01 -1.8229641494e-01 7.2724484134e+01 -1.1428520756e+00 1.0000000000e+02 
1002 -4.4878055049e-01 -2.9997071922e-03 -2.8581660058e+01 -1.6146875542e+00 1.0000000000e+02 
2004 -4.5630991142e-01 -1.9818835358e-03 -4.2106771167e+01 -1.6135432902e+00 1.0000000000e+02 
3006 -4.5652264959e-01 -2.1494694294e-03 -4.4438035791e+01 -1.6139713806e+00 1.0000000000e+02 
4008 -4.5653692184e-01 -2.1769662342e-03 -4.4833500555e+01 -1.6140036318e+00 1.0000000000e+02 
5010 -4.5654107702e-01 -2.1865060541e-03 -4.4902482695e+01 -1.6140073593e+00 1.0000000000e+02 
6012 -4.5654292781e-01 -2.1907246353e-03 -4.4914872379e+01 -1.6140084138e+00 1.0000000000e+02 
7014 -4.5654378059e-01 -2.1926589864e-03 -4.4917228911e+01 -1.6140088547e+00 1.0000000000e+02 
8016 -4.5654417425e-01 -2.1935503471e-03 -4.4917733700e+01 -1.6140090549e+00 1.0000000000e+02 
9018 -4.5654435594e-01 -2.1939613635e-03 -4.4917865493e+01 -1.6140091471e+00 1.0000000000e+02 
10020 -4.5654443977e-01 -2.1941509162e-03 -4.4917908741e+01 -1.6140091896e+00 1.0000000000e+02 
11022 -4.5654447845e-01 -2.1942383384e-03 -4.4917925643e+01 -1.6140092093e+00 1.0000000000e+02 
12024 -4.5654449629e-01 -2.1942786583e-03 -4.4917932911e+01 -1.6140092183e+00 1.0000000000e+02 
13026 -4.5658849187e-01 -1.8474121131e-03 -4.4953431500e+01 -1.6140514512e+00 1.0219866722e+02 
14028 -4.5668972000e-01 2.9051424205e-05 -4.5088392124e+01 -1.6142364144e+00 1.1390877447e+02 
15030 -4.5668975729e-01 -5.5799159045e-06 -4.5090540053e+01 -1.6142535179e+00 1.1372747849e+02 
16032 -4.5668975914e-01 -1.1065324937e-06 -4.5090897159e+01 -1.6142545678e+00 1.1375668950e+02 
17034 -4.5668975952e-01 3.0117964113e-08 -4.5090968364e+01 -1.6142547401e+00 1.1376391511e+02 
18036 -4.5668975967e-01 2.4549342301e-08 -4.5090970779e+01 -1.6142547548e+00 1.1376391511e+02 
19038 -4.5668975972e-01 2.4041636316e-08 -4.5090970904e+01 -1.6142547557e+00 1.1376391511e+02 
20040 -4.5668975975e-01 2.3963981890e-08 -4.5090970917e+01 -1.6142547558e+00 1.1376391511e+02 
21042 -4.5668975976e-01 2.3943737591e-08 -4.5090970920e+01 -1.6142547558e+00 1.1376391511e+02 
22044 -4.5668975976e-01 2.3936576608e-08 -4.5090970922e+01 -1.6142547558e+00 1.1376391511e+02 
23046 -4.5668975976e-01 2.3935971891e-08 -4.5090970922e+01 -1.6142547558e+00 1.1376391511e+02 
23046 -4.5668975976e-01 2.3935971891e-08 -4.5090970922e+01 -1.6142547558e+00 1.1376391511e+02 
